Removed Pin From Net: NetName=+5 Pin=R4-1
Removed Pin From Net: NetName=NetLCD1_3 Pin=R4-2
Change Component Footprint: Designator=C18 Old Footprint=CAP 2220_5650 1.5MM New Footprint=CAP 1210_3225 - 1MM
Change Component Footprint: Designator=C19 Old Footprint=CAP 2220_5650 3.3MM New Footprint=CAP 1210_3225 - 1MM
Change Component Footprint: Designator=C20 Old Footprint=CAP 2220_5650 3.3MM New Footprint=CAP 1210_3225 - 1MM
Change Component Footprint: Designator=R1 Old Footprint=RES 2512_6432 New Footprint=RES 1210_3225
Change Component Footprint: Designator=R2 Old Footprint=RES 2512_6432 New Footprint=RES 1210_3225
Change Component Footprint: Designator=R3 Old Footprint=RES 2512_6432 New Footprint=RES 1210_3225
Change Component Footprint: Designator=R4 Old Footprint=RES 2512_6432 New Footprint=RES 1210_3225
Change Component Comment : Designator=C19 Old Comment=0.1µF New Comment=0.1 µF
Change Component Comment : Designator=C20 Old Comment=0.1µF New Comment=0.1 µF
Change Component Comment : Designator=C18 Old Comment=0.33µF New Comment=0.33 µF
Change component parameters: Designator = "C18" ("C18"); Footprint = "CAP 2220_5650 1.5MM"; UniqueID = "\NDLVYYLX\ZLKYNPWN" ("\NDLVYYLX\ZLKYNPWN")
Change component parameters (AddParameter): Name = "Applications"; Value = "Bypass, Decoupling"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "0.33 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink1url"; Value = "https://api.kemet.com/component-edge/download/datasheet/C1210C334J3RACTU.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "componentlink2url"; Value = "https://www.digikey.com/en/products/detail/kemet/C1210C334J3RAC7800/2216802"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "1210 (3225 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lastupdated"; Value = "9/19/2022 1:23:31 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
